"Item ID","Icon","Name","Ingredients","Tradeskill","Source","Bookmark","In Stock","Price","Crafting Category","Crafting Group","Recipe Level","Can Craft","Yield Bonus","Tradskill XP","Standing XP","Station","Expansion","Bonus Chance","Cooldown Quantity","Cooldown Time","Additional Filter Text","Attribute Only Perk Item Slot Count","Base Gear Score","Base Tier","Bonus Item Chance Decrease","Bonus Item Chance Increase","Craft All","Crafting Fee","Disallow Bonuses To GS","Display Ingredients","First Craft Achievement Id","Game  Event  Validation","Game Event ID","Gear Score Bonus","Gear Score Reduction","Hidden By Achievement ID","Ingredient1","Ingredient2","Ingredient3","Ingredient4","Ingredient5","Ingredient6","Ingredient7","Is Procedural","Is Refining","Is Temporary","Max Perk Items Allowed","Output Qty","Perk Cost","Perk Items Bucket Push","Qty1","Qty2","Qty3","Qty4","Qty5","Qty6","Qty7","Recipe ID","Recipe Name Override","Recipe Tags","Required Achievement ID","Required World Tags","Skip Grant Items","Skip Grant Items Body","Skip Grant Items Desc","Skip Grant Items Title","Station Type1","Station Type2","Station Type3","Station Type4","Type1","Type2","Type3","Type4","Type5","Type6","Type7","Unlocked Achievement Blocks Recrafting","Unlocked Achievement ID","Use Crafting Tax","bKnown By Default","bListed By Default"
"MushroomFlaskT1","","Spore Jelly Vial","SandT4","Smelting","Misc","0","","","Secrets of the Spores","Consumables","5","false","Skill, Buff, Faction","5","0","Forge Tier 2","","-20%","","","","0","0","0","0,0,0,0,0","0,0,0,0,0","true","30","","","","true","Craft_SmeltingT1","","","","SandT4","","","","","","","false","true","false","","1","0","false","5","0","0","0","0","0","0","MushroomFlaskT1","","","09A_S0","","false","","","","blacksmith2","","","","Item","","","","","","","","","1","true","true"
"MushroomFlaskT2","","Spore Jelly Beaker","MushroomFlaskT1, SandT4","Smelting","Misc","0","","","Secrets of the Spores","Consumables","120","false","Skill, Buff, Faction","276","0","Arcane Repository Tier 2","","-20%","","","","0","0","0","0,0,0,0,0","0,0,0,0,0","true","30","","","FC_MushroomFlaskT2","true","Craft_SmeltingT3","","","","MushroomFlaskT1","SandT4","","","","","","false","true","false","","1","0","false","1","5","0","0","0","0","0","MushroomFlaskT2","","","09A_S0","","false","","","","alchemy2","","","","Item","Item","","","","","","","","1","true","true"
"MushroomFlaskT3","","Spore Jelly Bottle","MushroomFlaskT2, SandT4, PetrifiedFragmentsT1, LeatherT4","Smelting","Misc","0","","","Secrets of the Spores","Consumables","180","false","Skill, Buff, Faction","11322","0","Arcane Repository Tier 2","","-20%","","","","0","0","0","0,0,0,0,0","0,0,0,0,0","true","45","","","FC_MushroomFlaskT3","true","Craft_SmeltingT4","","","","MushroomFlaskT2","SandT4","PetrifiedFragmentsT1","LeatherT4","","","","false","true","false","","1","0","false","1","15","25","10","0","0","0","MushroomFlaskT3","","","09A_S0","","false","","","","alchemy2","","","","Item","Item","Item","Item","","","","","","1","true","true"
"MushroomFlaskT4","","Spore Jelly Flask","MushroomFlaskT3, ChargedSandT5, PetrifiedHeartT1, IngotT52, LeatherT52","Smelting","Misc","0","","","Secrets of the Spores","Consumables","220","false","Skill, Buff, Faction","51744","0","Arcane Repository Tier 2","","-20%","","","","0","0","0","0,0,0,0,0","0,0,0,0,0","true","65","","","FC_MushroomFlaskT4","true","Craft_SmeltingT5","","","","MushroomFlaskT3","ChargedSandT5","PetrifiedHeartT1","IngotT52","LeatherT52","","","false","true","false","","1","0","false","1","15","10","15","15","0","0","MushroomFlaskT4","","","09A_S0","","false","","","","alchemy2","","","","Item","Item","Item","Item","Item","","","","","1","true","true"
"MushroomFlaskT5","","Spore Jelly Jug","MushroomFlaskT4, ChargedSandT5, PetrificationCharmT2, IngotT51, LeatherT51, CrystallineFurT1","Smelting","Misc","0","","","Secrets of the Spores","Consumables","250","false","Skill, Buff, Faction","77616","0","Arcane Repository Tier 2","","-20%","","","","0","0","0","0,0,0,0,0","0,0,0,0,0","true","90","","","FC_MushroomFlaskT5","true","Craft_SmeltingT5","","","","MushroomFlaskT4","ChargedSandT5","PetrificationCharmT2","IngotT51","LeatherT51","CrystallineFurT1","","false","true","false","","1","0","false","1","30","20","15","15","3","0","MushroomFlaskT5","","","09A_S0","","false","","","","alchemy2","","","","Item","Item","Item","Item","Item","Item","","","","1","true","true"
"IngotT52","","Mythril Ingot","OreT52, IngotT5, FluxT5, CharcoalT1","Smelting","Misc","0","","31.64","Refined Resources","Metals","205","false","Skill, Buff, Faction","43299","34","Smelter Tier 3","","-20%","","","Metals","0","0","5","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","22","","","FC_IngotT52","true","Craft_SmeltingT52","","","","OreT52","IngotT5","FluxT5","CharcoalT1","","","","false","true","false","","1","0","false","12","2","1","2","0","0","0","IngotT52","","","","","false","","","","smelting2","","","","Item","Item","Item","Item","","","","","","0","true","true"
"IngotT53","","Prismatic Ingot","IngotT51, IngotT52, FluxT5, CharcoalT1","Smelting","Misc","1","","472.43","Refined Resources","Metals","250","false","Skill, Buff, Faction","157105","38","Smelter Tier 3","","-30%","10","1 day","Metals","0","0","5","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","50","","","FC_IngotT53","true","Craft_SmeltingT53","","","","IngotT51","IngotT52","FluxT5","CharcoalT1","","","","false","true","false","","1","0","false","1","10","4","4","0","0","0","IngotT53","","","","","false","","","","smelting2","","","","Item","Item","Item","Item","","","","","","0","true","true"
"CharcoalT1","","Charcoal","Wood","Smelting","Refining","0","","0.17","Refined Resources","Charcoal","0","true","Skill, Buff, Faction","22","0","Smelter Tier 3","","0%","","","","","","1","0,0,0,0,0","0.5,1,1.5,2,3","true","1","","","FC_CharcoalT1","true","Craft_SmeltingT2","","","","Wood","","","","","","","false","true","false","","1","","","2","0","0","0","0","","","CharcoalT1","","","","","false","","","","smelting2","","","","Category_Only","","","","","","","","","0","true","true"
"CharcoalT1","","Charcoal","WoodenCoin","Smelting","Refining","0","","0.17","Refined Resources","Charcoal","75","false","Skill, Buff, Faction","46","0","Smelter Tier 3","","0%","","","","","","1","0,0,0,0,0","0.5,1,1.5,2,3","true","1","","","FC_CharcoalT1_WoodenCoin","true","Craft_SmeltingT3","","","","WoodenCoin","","","","","","","false","true","false","","10","","","1","0","0","0","0","","","CharcoalT1_WoodenCoin","","","","","false","","","","smelting2","","","","Item","","","","","","","","","0","true","true"
"IngotT2","","Iron Ingot","OreT1","Smelting","Refining","0","","1.21","Refined Resources","Metals","0","true","Skill, Buff, Faction","55","0","Smelter Tier 3","","0%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","1","","","FC_IngotT2","true","Craft_SmeltingT2","","","","OreT1","","","","","","","false","true","false","","1","","","4","1","0","0","0","","","IngotT2","","","","","false","","","","smelting2","","","","Item","","","","","","","","","0","true","true"
"IngotT3","","Steel Ingot","IngotT2, FluxT5, CharcoalT1","Smelting","Refining","0","","4.51","Refined Resources","Metals","50","false","Skill, Buff, Faction","276","0","Smelter Tier 3","","-2%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0,0.5,0.75,1","true","4","","","FC_IngotT3","true","Craft_SmeltingT3","","","","IngotT2","FluxT5","CharcoalT1","","","","","false","true","false","","1","","","3","1","2","0","0","","","IngotT3","","","","","false","","","","smelting2","","","","Item","Item","Item","","","","","","","0","true","true"
"IngotT4","","Starmetal Ingot","OreT4, IngotT3, FluxT5, CharcoalT1","Smelting","Refining","0","","13.82","Refined Resources","Metals","100","false","Skill, Buff, Faction","2442","0","Smelter Tier 3","","-5%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","7","","","FC_IngotT4","true","Craft_SmeltingT4","","","","OreT4","IngotT3","FluxT5","CharcoalT1","","","","false","true","false","","1","","","6","2","1","2","0","","","IngotT4","","","","","false","","","","smelting2","","","","Item","Item","Item","Item","","","","","","0","true","true"
"IngotT5","","Orichalcum Ingot","OreT5, IngotT4, FluxT5, CharcoalT1","Smelting","Refining","0","","19.56","Refined Resources","Metals","150","false","Skill, Buff, Faction","12012","0","Smelter Tier 3","","-7%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","13","","","FC_IngotT5","true","Craft_SmeltingT5","","","","OreT5","IngotT4","FluxT5","CharcoalT1","","","","false","true","false","","1","","","8","2","1","2","0","","","IngotT5","","","","","false","","","","smelting2","","","","Item","Item","Item","Item","","","","","","0","true","true"
"IngotT51","","Asmodeum","IngotT5, CinnabarT1, FluxT5, CharcoalT1","Smelting","Refining","0","","106.77","Refined Resources","Metals","200","false","Skill, Buff, Faction","30000","0","Smelter Tier 3","","-25%","10","1 day","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","19","","","FC_IngotT51","true","Craft_SmeltingT51","","","","IngotT5","CinnabarT1","FluxT5","CharcoalT1","","","","false","true","false","","1","","","5","2","1","2","0","","","IngotT51","","","","","false","","","","smelting2","","","","Item","Item","Item","Item","","","","","","0","true","true"
"IngotPreciousT1","","Silver Ingot","OrePreciousT1","Smelting","Refining","0","","0.1","Refined Resources","Precious Metals","0","true","Skill, Buff, Faction","44","0","Smelter Tier 3","","-2%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","1","","","FC_IngotPreciousT1","true","Craft_SmeltingT2","","","","OrePreciousT1","","","","","","","false","true","false","","1","","","4","0","0","0","0","","","IngotPreciousT1","","","","","false","","","","smelting2","","","","Item","","","","","","","","","0","true","true"
"IngotPreciousT2","","Gold Ingot","OrePreciousT2, IngotPreciousT1, FluxT5","Smelting","Refining","0","","1.33","Refined Resources","Precious Metals","50","false","Skill, Buff, Faction","368","0","Smelter Tier 3","","-5%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","4","","","FC_IngotPreciousT2","true","Craft_SmeltingT3","","","","OrePreciousT2","IngotPreciousT1","FluxT5","","","","","false","true","false","","1","","","5","2","1","0","0","","","IngotPreciousT2","","","","","false","","","","smelting2","","","","Item","Item","Item","","","","","","","0","true","true"
"IngotPreciousT3","","Platinum Ingot","OrePreciousT3, IngotPreciousT2, FluxT5","Smelting","Refining","0","","1.35","Refined Resources","Precious Metals","100","false","Skill, Buff, Faction","1998","0","Smelter Tier 3","","-7%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","7","","","FC_IngotPreciousT3","true","Craft_SmeltingT4","","","","OrePreciousT3","IngotPreciousT2","FluxT5","","","","","false","true","false","","1","","","6","2","1","0","0","","","IngotPreciousT3","","","","","false","","","","smelting2","","","","Item","Item","Item","","","","","","","0","true","true"
"VoidbentIngot","","Voidbent Ingot","VoidOre, VoidEssence, KeyPart_Core","Smelting","Refining","0","","197.99","Refined Resources","Metals","200","false","Skill, Buff, Faction","36000","0","Smelter Tier 3","","0%","","","Metals","","","0","","","true","100","","","FC_VoidbentIngot","false","Craft_SmeltingT51","","","","VoidOre","VoidEssence","KeyPart_Core","","","","","false","true","false","","1","","","1","1","10","0","0","","","VoidbentIngot","","","","","false","","","","smelting2","","","","Item","Item","Item","","","","","","","0","true","true"
"SulfurT1","","Sulfur","SulfurChunk, FluxT5","Smelting","Refining","0","","49.83","Refined Resources","Charcoal","125","false","Skill, Buff, Faction","5544","0","Smelter Tier 3","","-7%","","","Metals","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","13","","","FC_SulfurT1","true","Craft_SmeltingT5","","","","SulfurChunk","FluxT5","","","","","","false","true","false","","1","","","5","1","0","0","0","","","SulfurT1","","","","","false","","","","smelting2","","","","Item","Item","","","","","","","","0","true","true"
"Prospect_PreciousOre_T2","","Cache of Prospected Gems","OrePreciousT1, SolventT5","Smelting","Refining","0","","","Refined Resources","Prospecting","75","false","Skill, Buff, Faction","3025","0","Smelter Tier 3","","-100%","","","Metals","","","0","","","true","500","","","FC_Prospect_PreciousOre_T2","true","Craft_SmeltingT2","","","","OrePreciousT1","SolventT5","","","","","","false","true","false","","1","","","250","25","0","0","0","","","Prospect_PreciousOre_T2","","","","","false","","","","smelting2","","","","Item","Item","","","","","","","","0","true","true"
"Prospect_PreciousOre_T3","","Cache of Prospected Gems","OrePreciousT2, SolventT5","Smelting","Refining","0","","","Refined Resources","Prospecting","150","false","Skill, Buff, Faction","12650","0","Smelter Tier 3","","-100%","","","Metals","","","0","","","true","1000","","","FC_Prospect_PreciousOre_T3","true","Craft_SmeltingT3","","","","OrePreciousT2","SolventT5","","","","","","false","true","false","","1","","","250","25","0","0","0","","","Prospect_PreciousOre_T3","","","","","false","","","","smelting2","","","","Item","Item","","","","","","","","0","true","true"
"Prospect_PreciousOre_T4","","Cache of Prospected Gems","OrePreciousT3, SolventT5","Smelting","Refining","0","","","Refined Resources","Prospecting","200","false","Skill, Buff, Faction","61050","0","Smelter Tier 3","","-100%","","","Metals","","","0","","","true","1500","","","FC_Prospect_PreciousOre_T4","true","Craft_SmeltingT4","","","","OrePreciousT3","SolventT5","","","","","","false","true","false","","1","","","250","25","0","0","0","","","Prospect_PreciousOre_T4","","","","","false","","","","smelting2","","","","Item","Item","","","","","","","","0","true","true"
