"Item ID","Icon","Name","Ingredients","Tradeskill","Source","Bookmark","In Stock","Price","Crafting Category","Crafting Group","Recipe Level","Can Craft","Yield Bonus","Tradskill XP","Standing XP","Station","Expansion","Bonus Chance","Cooldown Quantity","Cooldown Time","Additional Filter Text","Attribute Only Perk Item Slot Count","Base Gear Score","Base Tier","Bonus Item Chance Decrease","Bonus Item Chance Increase","Craft All","Crafting Fee","Disallow Bonuses To GS","Display Ingredients","First Craft Achievement Id","Game  Event  Validation","Game Event ID","Gear Score Bonus","Gear Score Reduction","Hidden By Achievement ID","Ingredient1","Ingredient2","Ingredient3","Ingredient4","Ingredient5","Ingredient6","Ingredient7","Is Procedural","Is Refining","Is Temporary","Max Perk Items Allowed","Output Qty","Perk Cost","Perk Items Bucket Push","Qty1","Qty2","Qty3","Qty4","Qty5","Qty6","Qty7","Recipe ID","Recipe Name Override","Recipe Tags","Required Achievement ID","Required World Tags","Skip Grant Items","Skip Grant Items Body","Skip Grant Items Desc","Skip Grant Items Title","Station Type1","Station Type2","Station Type3","Station Type4","Type1","Type2","Type3","Type4","Type5","Type6","Type7","Unlocked Achievement Blocks Recrafting","Unlocked Achievement ID","Use Crafting Tax","bKnown By Default","bListed By Default"
"ClothT52","","Spinweave Cloth","FiberT52, ClothT5, ClothWeaveT5","Weaving","Misc","0","","27.96","Refined Resources","Cloth","205","true","Skill, Buff, Faction","43705","30","Loom Tier 3","","-20%","","","","0","0","5","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","22","","","FC_ClothT52","true","Craft_WeavingT52","","","","FiberT52","ClothT5","ClothWeaveT5","","","","","false","true","false","","1","0","false","12","2","1","0","0","0","0","ClothT52","","","","","false","","","","weaving2","","","","Item","Item","Item","","","","","","","0","true","true"
"ClothT53","","Prismatic Cloth","ClothT51, ClothT52, ClothWeaveT5","Weaving","Misc","1","","343.25","Refined Resources","Cloth","250","true","Skill, Buff, Faction","141750","30","Loom Tier 3","","-30%","10","1 day","","0","0","5","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","50","","","FC_ClothT53","true","Craft_WeavingT53","","","","ClothT51","ClothT52","ClothWeaveT5","","","","","false","true","false","","1","0","false","1","10","4","0","0","0","0","ClothT53","","","","","false","","","","weaving2","","","","Item","Item","Item","","","","","","","0","true","true"
"ClothT2","","Linen","FiberT1","Weaving","Refining","0","","0.75","Refined Resources","Cloth","0","true","Skill, Buff, Faction","44","0","Loom Tier 3","","0%","","","","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","1","","","FC_ClothT2","true","Craft_WeavingT2","","","","FiberT1","","","","","","","false","true","false","","1","","","4","0","0","0","0","","","ClothT2","","","","","false","","","","weaving2","","","","Item","","","","","","","","","0","true","true"
"ClothT3","","Sateen","ClothT2, ClothWeaveT5","Weaving","Refining","0","","2.36","Refined Resources","Cloth","50","true","Skill, Buff, Faction","230","0","Loom Tier 3","","-2%","","","","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0,0.5,0.75,1","true","4","","","FC_ClothT3","true","Craft_WeavingT3","","","","ClothT2","ClothWeaveT5","","","","","","false","true","false","","1","","","4","1","0","0","0","","","ClothT3","","","","","false","","","","weaving2","","","","Item","Item","","","","","","","","0","true","true"
"ClothT4","","Silk","FiberT4, ClothT3, ClothWeaveT5","Weaving","Refining","0","","6.87","Refined Resources","Cloth","100","true","Skill, Buff, Faction","1998","0","Loom Tier 3","","-5%","","","","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","7","","","FC_ClothT4","true","Craft_WeavingT4","","","","FiberT4","ClothT3","ClothWeaveT5","","","","","false","true","false","","1","","","6","2","1","0","0","","","ClothT4","","","","","false","","","","weaving2","","","","Item","Item","Item","","","","","","","0","true","true"
"ClothT5","","Infused Silk","FiberT5, ClothT4, ClothWeaveT5","Weaving","Refining","0","","13.59","Refined Resources","Cloth","150","true","Skill, Buff, Faction","10164","0","Loom Tier 3","","-7%","","","","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","13","","","FC_ClothT5","true","Craft_WeavingT5","","","","FiberT5","ClothT4","ClothWeaveT5","","","","","false","true","false","","1","","","8","2","1","0","0","","","ClothT5","","","","","false","","","","weaving2","","","","Item","Item","Item","","","","","","","0","true","true"
"ClothT51","","Phoenixweave","ClothT5, ScaleclothT1, ClothWeaveT5","Weaving","Refining","0","","82.1","Refined Resources","Cloth","200","true","Skill, Buff, Faction","24000","0","Loom Tier 3","","-25%","10","1 day","","","","0","-0.05,-0.1,-0.15,-0.2,-0.25","0.25,0.5,0.75,1","true","19","","","FC_ClothT51","true","Craft_WeavingT51","","","","ClothT5","ScaleclothT1","ClothWeaveT5","","","","","false","true","false","","1","","","5","2","1","0","0","","","ClothT51","","","","","false","","","","weaving2","","","","Item","Item","Item","","","","","","","0","true","true"
"SandpaperT5","","Obsidian Sandpaper","ReagentConverterT5, SandpaperReagentsT5","Weaving","Refining","0","","0.75","Material Conversion","Refining Material Conversion","0","true","Skill, Buff, Faction","231","0","Loom Tier 3","","-30%","","","","","","0","0,0,0,0,0","0,0,0,0,0","true","100","","ReagentConverterT5","FC_Loom_SandpaperT5","true","Craft_WeavingT2","","","","ReagentConverterT5","SandpaperReagentsT5","","","","","","false","true","false","","15","","","1","20","0","0","0","","","Loom_SandpaperT5","","","","","false","","","","weaving2","","","","Item","Category_Only","","","","","","","","0","false","false"
"FluxT5","","Obsidian Flux","ReagentConverterT5, FluxReagentsT5","Weaving","Refining","0","","1.13","Material Conversion","Refining Material Conversion","0","true","Skill, Buff, Faction","231","0","Loom Tier 3","","-30%","","","","","","0","0,0,0,0,0","0,0,0,0,0","true","100","","ReagentConverterT5","FC_Loom_FluxT5","true","Craft_WeavingT2","","","","ReagentConverterT5","FluxReagentsT5","","","","","","false","true","false","","15","","","1","20","0","0","0","","","Loom_FluxT5","","","","","false","","","","weaving2","","","","Item","Category_Only","","","","","","","","0","false","false"
"ClothWeaveT5","","Wireweave","ReagentConverterT5, ClothWeaveReagentsT5","Weaving","Refining","0","","0.78","Material Conversion","Refining Material Conversion","0","true","Skill, Buff, Faction","231","0","Loom Tier 3","","-30%","","","","","","0","0,0,0,0,0","0,0,0,0,0","true","100","","ReagentConverterT5","FC_Loom_ClothWeaveT5","true","Craft_WeavingT2","","","","ReagentConverterT5","ClothWeaveReagentsT5","","","","","","false","true","false","","15","","","1","20","0","0","0","","","Loom_ClothWeaveT5","","","","","false","","","","weaving2","","","","Item","Category_Only","","","","","","","","0","true","true"
